day,Age,Location,Gender,Student,Employed,Unemployed,Marital_status,Restaurant
7,16,0,1,0,0,1,0,182
4,16,0,1,0,0,1,1,182
1,16,0,1,0,0,1,1,182
1,16,0,1,0,0,1,0,182
1,16,0,1,0,0,1,1,182
7,16,0,0,0,0,1,1,182
2,16,0,0,0,0,1,1,182
6,16,0,0,0,0,1,1,182
5,16,0,1,0,0,1,0,182
6,16,0,1,0,0,1,0,182
2,16,0,0,0,0,1,0,182
5,16,0,0,0,0,1,0,182
4,16,0,0,0,0,1,0,182
6,16,0,0,0,0,1,0,182
5,16,0,1,0,0,1,1,181
6,16,0,0,0,0,1,0,181
7,16,0,1,0,0,1,1,181
6,16,0,0,0,0,1,0,181
3,16,0,1,0,0,1,1,181
4,16,0,1,0,0,1,0,181
6,16,0,0,0,0,1,0,181
1,16,0,0,1,0,0,1,181
4,16,0,1,0,0,1,0,181
2,16,0,0,0,0,1,0,181
4,16,0,0,0,0,1,0,181
1,16,0,0,0,0,1,0,181
1,16,0,0,0,0,1,1,181
2,16,0,0,0,0,1,1,180
7,16,0,0,0,0,1,0,180
3,16,0,1,0,0,1,0,180
5,16,0,1,0,0,1,1,180
6,16,0,1,0,0,1,1,180
6,16,0,0,0,0,1,0,180
5,16,0,1,0,0,1,1,180
3,16,0,0,0,0,1,0,180
2,16,0,0,0,0,1,1,180
2,16,0,1,0,0,1,1,180
7,16,0,0,0,0,1,0,180
2,16,0,1,0,0,1,1,180
4,16,0,1,0,0,1,0,180
5,16,0,1,0,0,1,1,180
2,16,0,1,0,0,1,1,179
3,16,0,1,0,0,1,1,179
5,16,0,1,0,0,1,0,179
6,16,0,0,0,0,1,1,179
1,16,0,0,0,0,1,1,179
4,16,0,1,0,0,1,0,179
1,16,0,0,0,0,1,1,179
4,16,0,0,0,0,1,0,179
7,16,0,0,0,0,1,1,179
5,16,0,1,0,0,1,0,179
4,16,0,0,0,0,1,0,179
5,16,0,0,0,0,1,0,179
6,16,0,1,0,0,1,1,179
7,16,0,0,0,0,1,0,178
6,16,0,0,0,0,1,1,178
2,16,0,0,0,0,1,0,178
1,16,0,0,0,0,1,0,178
7,16,0,0,0,0,1,0,178
7,16,0,0,0,0,1,1,178
6,16,0,0,0,0,1,0,178
7,16,0,1,0,0,1,0,178
1,16,0,0,0,0,1,1,178
1,16,0,0,0,0,1,0,178
7,16,0,0,0,0,1,1,178
6,16,0,0,0,0,1,1,178
2,16,0,1,0,0,1,0,178
2,16,0,1,0,0,1,1,178
3,17,0,1,0,0,1,1,177
6,17,0,0,0,0,1,0,177
7,17,0,1,0,0,1,0,177
3,17,0,0,0,0,1,1,177
1,17,0,1,0,0,1,1,177
6,17,0,1,0,0,1,0,177
3,17,0,0,0,0,1,1,177
1,17,0,1,0,0,1,0,177
7,17,0,1,0,0,1,1,177
1,17,0,1,0,0,1,0,177
7,17,0,0,0,0,1,0,177
6,17,0,0,0,0,1,0,177
3,17,0,1,0,0,1,1,177
4,17,0,0,0,0,1,1,176
4,17,0,0,1,0,0,0,176
2,17,0,0,0,0,1,0,176
5,17,0,1,0,0,1,0,176
1,17,0,0,0,0,1,1,176
2,17,0,1,0,0,1,1,176
5,17,0,0,0,0,1,1,176
6,17,0,0,0,0,1,0,176
2,17,0,1,0,0,1,0,176
5,17,0,1,0,0,1,1,176
7,17,0,0,0,0,1,0,176
3,17,0,1,0,0,1,0,176
5,17,0,1,0,0,1,1,176
2,17,0,0,0,0,1,0,176
6,17,0,1,0,0,1,0,175
6,17,0,0,0,0,1,0,175
2,17,0,0,0,0,1,0,175
3,17,0,1,0,0,1,0,175
3,17,0,0,0,0,1,1,175
1,17,0,0,0,0,1,0,175
5,17,0,0,0,0,1,0,175
7,17,0,1,0,0,1,1,175
1,17,0,1,0,0,1,1,175
2,17,0,0,0,0,1,0,175
1,17,0,1,0,0,1,1,175
6,17,0,0,0,0,1,0,175
1,17,0,1,0,0,1,0,175
2,17,0,1,1,0,0,0,175
4,17,0,1,0,0,1,1,174
4,17,0,0,0,0,1,1,174
2,17,0,0,0,0,1,0,174
1,17,0,1,0,0,1,1,174
6,17,0,1,0,0,1,1,174
7,17,0,0,0,0,1,0,174
5,17,0,0,0,0,1,1,174
5,17,0,1,0,0,1,0,174
5,17,0,0,0,0,1,1,174
5,17,0,1,0,0,1,1,174
6,17,0,0,0,0,1,0,174
1,17,0,1,0,0,1,1,174
1,17,0,1,0,0,1,0,174
7,17,0,0,0,0,1,0,173
4,17,0,0,0,0,1,0,173
1,17,0,0,0,0,1,1,173
3,17,0,0,0,0,1,1,173
4,17,0,0,0,0,1,0,173
7,17,0,1,0,0,1,1,173
7,17,0,0,0,0,1,1,173
7,17,0,1,0,0,1,1,173
3,17,0,0,0,0,1,0,173
3,17,0,0,0,0,1,0,173
7,17,0,1,0,0,1,0,173
1,17,0,1,0,0,1,1,173
5,17,0,0,0,0,1,1,173
3,17,0,1,0,0,1,0,173
6,17,0,0,0,0,1,0,172
6,17,0,0,1,0,0,1,172
6,17,0,0,0,0,1,1,172
3,17,0,1,0,0,1,0,172
5,17,0,1,0,0,1,1,172
6,17,0,0,0,0,1,0,172
6,17,0,0,0,0,1,0,172
7,17,0,0,0,0,1,1,172
3,17,0,0,0,0,1,0,172
1,17,0,1,0,0,1,0,172
2,17,0,0,0,0,1,0,172
5,17,0,0,0,0,1,0,172
2,17,0,1,0,0,1,0,172
3,17,0,1,0,0,1,0,172
6,17,0,0,0,0,1,0,171
4,17,0,1,0,0,1,0,171
6,17,0,0,0,0,1,0,171
1,17,0,0,0,0,1,0,171
5,17,0,1,0,0,1,1,171
2,17,0,0,0,0,1,1,171
2,17,0,1,0,0,1,1,171
7,17,0,0,0,0,1,1,171
7,17,0,0,0,0,1,0,171
4,17,0,1,1,0,0,1,171
6,17,0,1,0,0,1,0,171
5,17,0,1,0,0,1,0,171
1,17,0,0,0,0,1,0,171
5,17,0,0,0,0,1,1,171
4,17,0,0,0,0,1,1,170
2,17,0,0,0,0,1,1,170
4,17,0,1,0,0,1,1,170
3,17,0,1,0,0,1,1,170
5,17,0,1,0,0,1,1,170
6,17,0,0,0,0,1,1,170
2,17,0,1,0,0,1,1,170
6,17,0,1,0,0,1,1,170
6,17,0,1,0,0,1,0,170
2,17,0,1,0,0,1,0,170
3,17,0,0,0,0,1,0,170
5,17,0,0,0,0,1,0,170
3,17,0,1,0,0,1,0,170
5,17,0,0,0,0,1,1,170
7,17,0,1,0,0,1,0,169
6,17,0,0,0,0,1,1,169
1,17,0,0,0,0,1,0,169
7,17,0,1,0,0,1,0,169
2,17,0,1,0,0,1,1,169
4,17,0,1,0,0,1,0,169
6,17,0,1,0,0,1,0,169
2,17,0,0,0,0,1,0,169
1,17,0,1,1,0,0,1,169
3,17,0,0,0,0,1,0,169
6,17,0,1,0,0,1,0,169
2,17,0,0,0,0,1,1,169
3,17,0,1,0,0,1,1,169
3,17,0,0,0,0,1,0,169
2,18,0,0,0,0,1,1,168
5,18,0,1,0,0,1,1,168
3,18,0,1,0,0,1,1,168
2,18,0,0,0,0,1,0,168
2,18,0,1,0,0,1,0,168
2,18,0,1,0,0,1,0,168
3,18,0,0,0,0,1,1,168
4,18,0,1,0,0,1,1,168
6,18,0,1,0,0,1,0,168
4,18,0,1,0,0,1,0,168
6,18,0,1,0,0,1,1,168
4,18,0,1,0,0,1,1,168
1,18,0,1,0,0,1,1,168
1,18,0,0,0,0,1,1,168
1,18,0,0,0,0,1,0,167
2,18,0,1,0,0,1,1,167
5,18,0,1,0,0,1,1,167
2,18,0,0,0,0,1,1,167
3,18,0,1,0,0,1,1,167
7,18,0,1,0,0,1,1,167
4,18,0,0,0,0,1,1,167
4,18,0,1,0,0,1,1,167
7,18,0,1,0,0,1,1,167
4,18,0,0,0,0,1,1,167
4,18,0,1,0,0,1,0,167
1,18,0,1,0,0,1,1,167
4,18,0,1,0,0,1,1,167
6,18,0,1,0,0,1,1,167
6,18,0,1,0,0,1,0,166
3,18,0,0,0,0,1,0,166
1,18,0,1,0,0,1,0,166
4,18,0,0,0,0,1,0,166
1,18,0,0,0,0,1,0,166
5,18,0,1,0,0,1,1,166
7,18,0,1,0,0,1,1,166
7,18,0,0,0,0,1,0,166
4,18,0,0,0,0,1,1,166
5,18,0,1,0,0,1,1,166
6,18,0,0,0,0,1,1,166
5,18,0,0,0,0,1,1,166
1,18,0,0,0,0,1,0,166
2,18,0,0,0,0,1,0,166
1,18,0,0,0,0,1,0,165
1,18,0,0,0,0,1,1,165
2,18,0,1,0,0,1,1,165
2,18,0,0,0,0,1,1,165
6,18,0,1,0,0,1,1,165
1,18,0,1,0,0,1,0,165
6,18,0,0,0,0,1,0,165
3,18,0,1,0,0,1,0,165
2,18,0,1,0,0,1,1,165
1,18,0,1,0,0,1,1,165
7,18,0,0,0,0,1,1,165
3,18,0,0,0,0,1,1,165
1,18,0,0,0,0,1,0,165
1,18,0,0,0,0,1,0,165
6,18,0,1,0,0,1,1,164
4,18,0,0,0,0,1,0,164
6,18,0,0,0,0,1,1,164
2,18,0,1,0,0,1,0,164
3,18,0,0,0,0,1,0,164
2,18,0,0,0,0,1,1,164
6,18,0,0,0,0,1,0,164
7,18,0,1,0,0,1,1,164
2,18,0,0,1,0,0,1,164
5,18,0,1,0,0,1,0,164
3,18,0,1,0,0,1,1,164
6,18,0,1,0,0,1,0,164
6,18,0,1,0,0,1,0,164
7,18,0,1,0,0,1,1,164
5,18,0,0,0,0,1,1,163
1,18,0,1,0,0,1,1,163
7,18,0,1,0,0,1,0,163
5,18,0,1,0,0,1,0,163
4,18,0,0,0,0,1,0,163
2,18,0,1,0,0,1,1,163
7,18,0,1,0,0,1,0,163
2,18,0,0,0,0,1,1,163
2,18,0,1,0,0,1,0,163
1,18,0,1,0,0,1,0,163
1,18,0,0,0,0,1,0,163
5,18,0,1,0,0,1,1,163
3,18,0,0,0,0,1,0,163
3,18,0,1,0,0,1,0,163
7,18,0,1,0,0,1,1,162
6,18,0,1,0,0,1,1,162
1,18,0,0,0,0,1,0,162
6,18,0,0,0,0,1,0,162
5,18,0,0,0,0,1,1,162
6,18,0,0,0,0,1,0,162
3,18,0,1,0,0,1,1,162
4,18,0,0,0,0,1,1,162
6,18,0,0,0,0,1,0,162
4,18,0,0,0,0,1,0,162
4,18,0,1,0,0,1,0,162
5,18,0,1,0,0,1,0,162
4,18,0,1,0,0,1,0,162
4,18,0,1,0,0,1,1,162
7,18,0,1,0,0,1,1,162
4,18,0,0,0,0,1,0,161
6,18,0,0,0,0,1,1,161
4,18,0,1,0,0,1,0,161
1,18,0,1,0,0,1,1,161
3,18,0,0,0,0,1,1,161
2,18,0,1,0,0,1,0,161
2,18,0,1,0,0,1,1,161
5,18,0,0,0,0,1,0,161
7,18,0,1,0,0,1,1,161
4,18,0,1,0,0,1,1,161
3,18,0,1,0,0,1,1,161
3,18,0,1,0,0,1,0,161
5,18,0,0,1,0,0,0,161
6,18,0,1,0,0,1,1,161
2,18,0,0,0,0,1,1,160
6,18,0,1,0,0,1,1,160
5,18,0,1,0,0,1,0,160
5,18,0,1,0,0,1,0,160
1,18,0,0,0,0,1,1,160
4,18,0,1,0,0,1,0,160
5,18,0,1,0,0,1,1,160
4,18,0,1,0,0,1,0,160
7,18,0,0,0,0,1,1,160
3,18,0,1,0,0,1,1,160
4,18,0,0,0,0,1,0,160
7,18,0,0,0,0,1,1,160
5,19,0,1,0,0,1,1,160
4,19,0,0,0,0,1,0,160
1,19,0,0,0,0,1,0,159
1,19,0,1,0,0,1,0,159
5,19,0,0,1,0,0,0,159
5,19,0,1,0,0,1,0,159
3,19,0,0,0,0,1,0,159
1,19,0,0,0,0,1,0,159
1,19,0,1,0,0,1,0,159
3,19,0,1,0,0,1,1,159
2,19,0,1,0,0,1,1,159
2,19,0,0,0,0,1,0,159
4,19,0,1,0,0,1,0,159
7,19,0,1,0,0,1,0,159
2,19,0,1,0,0,1,1,159
4,19,0,1,0,0,1,0,159
1,19,0,1,0,0,1,1,159
5,19,0,1,0,0,1,0,158
7,19,0,1,0,0,1,1,158
1,19,0,0,0,0,1,1,158
6,19,0,1,0,0,1,0,158
6,19,0,0,0,0,1,0,158
3,19,0,0,0,0,1,1,158
7,19,0,1,0,0,1,1,158
6,19,0,0,0,0,1,1,158
1,19,0,0,0,0,1,0,158
3,19,0,0,0,0,1,1,158
3,19,0,0,0,0,1,0,158
7,19,0,0,0,0,1,1,158
3,19,0,0,0,0,1,0,158
7,19,0,0,0,0,1,0,158
6,19,0,0,0,0,1,1,157
5,19,0,0,0,0,1,0,157
5,19,0,0,0,0,1,1,157
1,19,0,1,0,0,1,1,157
7,19,0,0,0,0,1,0,157
6,19,0,0,0,0,1,1,157
7,19,0,1,0,0,1,1,157
4,19,0,1,0,0,1,1,157
1,19,0,1,0,0,1,1,157
2,19,0,0,0,0,1,0,157
6,19,0,0,0,0,1,0,157
2,19,0,0,0,0,1,1,157
6,19,0,1,0,0,1,0,157
5,19,0,0,0,0,1,0,157
6,19,0,0,0,0,1,1,156
2,19,0,1,0,0,1,0,156
4,19,0,1,0,0,1,1,156
1,19,0,1,0,0,1,0,156
2,19,0,0,0,0,1,0,156
5,19,0,0,0,0,1,0,156
2,19,0,0,0,0,1,1,156
4,19,0,0,0,0,1,1,156
6,19,0,1,0,0,1,1,156
5,19,0,0,0,0,1,0,156
2,19,0,0,0,0,1,0,156
5,19,0,1,0,0,1,0,156
1,19,0,1,0,0,1,1,156
1,19,0,1,0,0,1,0,156
1,19,0,0,0,0,1,1,156
7,19,0,1,0,0,1,1,155
3,19,0,0,0,0,1,0,155
3,19,0,1,0,0,1,0,155
3,19,0,1,0,0,1,1,155
4,19,0,0,0,0,1,1,155
5,19,0,1,1,0,0,0,155
5,19,0,1,0,0,1,0,155
4,19,0,1,1,0,0,1,155
4,19,0,0,0,0,1,0,155
6,19,0,1,0,0,1,1,155
7,19,0,0,0,0,1,0,155
3,19,0,1,0,0,1,0,155
4,19,0,1,0,0,1,1,155
2,19,0,1,0,0,1,1,155
2,19,0,1,0,0,1,0,155
3,19,0,1,0,0,1,0,154
1,19,0,1,0,0,1,0,154
7,19,0,0,0,0,1,1,154
7,19,0,0,0,0,1,1,154
4,19,0,1,0,0,1,1,154
7,19,0,1,0,0,1,0,154
2,19,0,0,0,0,1,0,154
3,19,0,1,0,0,1,1,154
3,19,0,1,0,0,1,0,154
3,19,0,1,0,0,1,0,154
2,19,0,0,0,0,1,1,154
4,19,0,1,0,0,1,1,154
3,19,0,1,0,0,1,1,154
6,19,0,0,0,0,1,0,154
6,19,0,1,0,0,1,1,153
4,19,0,0,0,0,1,0,153
2,19,0,1,0,0,1,1,153
2,19,0,1,0,0,1,1,153
5,19,0,1,0,0,1,1,153
4,19,0,1,0,0,1,0,153
3,19,0,1,0,0,1,1,153
4,19,0,0,0,0,1,1,153
7,19,0,0,0,0,1,1,153
2,19,0,0,0,0,1,1,153
3,19,0,0,0,0,1,0,153
7,19,0,1,0,0,1,0,153
1,19,0,1,0,0,1,0,153
3,19,0,0,0,0,1,0,153
4,19,0,1,0,0,1,0,153
2,19,0,1,0,0,1,0,152
4,19,0,1,0,0,1,0,152
5,19,0,0,0,0,1,0,152
7,19,0,0,0,0,1,1,152
3,19,0,1,0,0,1,0,152
4,19,0,0,0,0,1,0,152
6,19,0,1,0,0,1,1,152
2,19,0,0,0,0,1,0,152
1,19,0,1,1,0,0,1,152
6,19,0,1,0,0,1,0,152
5,19,0,1,0,0,1,0,152
6,19,0,1,0,0,1,1,152
6,19,0,1,0,0,1,1,152
4,19,0,1,1,0,0,1,152
7,19,0,1,0,0,1,1,152
1,19,0,1,0,0,1,0,151
7,19,0,1,1,0,0,0,151
1,19,0,1,0,0,1,1,151
6,19,0,1,0,0,1,0,151
3,19,0,0,0,0,1,0,151
3,20,0,0,0,0,1,0,151
5,20,0,0,1,0,0,1,151
1,20,0,1,0,0,1,0,151
7,20,0,0,0,0,1,1,151
6,20,0,0,0,0,1,1,151
1,20,0,0,0,0,1,0,151
1,20,0,0,0,0,1,0,151
7,20,0,1,0,0,1,0,151
6,20,0,1,0,0,1,1,151
3,20,0,1,0,0,1,0,150
3,20,0,0,0,0,1,1,150
2,20,0,0,0,0,1,0,150
5,20,0,1,0,0,1,1,150
6,20,0,0,0,0,1,0,150
4,20,0,1,0,0,1,1,150
5,20,0,0,0,0,1,1,150
6,20,0,1,0,0,1,1,150
2,20,0,0,0,0,1,0,150
3,20,0,0,0,0,1,0,150
1,20,0,1,0,0,1,1,150
2,20,0,0,0,0,1,0,150
4,20,0,0,0,0,1,0,150
1,20,0,1,0,0,1,0,150
6,20,0,0,0,0,1,0,150
4,20,0,1,0,0,1,1,149
2,20,0,0,0,0,1,0,149
7,20,0,0,0,0,1,0,149
1,20,0,1,0,0,1,1,149
2,20,0,1,0,0,1,1,149
6,20,0,1,0,0,1,1,149
4,20,0,1,0,0,1,1,149
7,20,0,1,0,0,1,1,149
5,20,0,0,0,0,1,0,149
3,20,0,0,0,0,1,0,149
2,20,0,1,0,0,1,1,149
4,20,0,1,0,0,1,0,149
2,20,0,0,0,0,1,1,149
2,20,0,0,0,0,1,0,149
5,20,0,1,0,0,1,1,149
6,20,0,1,0,0,1,1,148
1,20,0,0,0,0,1,0,148
4,20,0,0,0,0,1,1,148
7,20,0,0,0,0,1,1,148
1,20,0,0,0,0,1,1,148
3,20,0,1,0,0,1,1,148
4,20,0,0,0,0,1,0,148
2,20,0,0,0,0,1,1,148
3,20,0,0,0,0,1,1,148
4,20,0,1,0,0,1,0,148
4,20,0,0,0,0,1,0,148
3,20,0,1,0,0,1,1,148
3,20,0,1,0,0,1,1,148
2,20,0,1,0,0,1,1,148
7,20,0,1,0,0,1,1,148
2,20,0,1,0,0,1,1,147
6,20,0,1,0,0,1,1,147
5,20,0,0,0,0,1,1,147
4,20,0,0,0,0,1,0,147
4,20,0,0,0,0,1,1,147
6,20,0,0,0,0,1,0,147
5,20,0,1,0,0,1,1,147
2,20,0,0,0,0,1,1,147
3,20,0,0,0,0,1,0,147
3,20,0,0,0,0,1,0,147
5,20,0,0,0,0,1,1,147
6,20,0,0,0,0,1,0,147
1,20,0,0,1,0,0,1,147
3,20,0,0,0,0,1,0,147
6,20,0,1,0,0,1,0,147
7,20,0,1,0,0,1,1,146
4,20,0,1,0,0,1,1,146
2,20,0,1,0,0,1,1,146
6,20,0,0,0,0,1,0,146
1,20,0,0,0,0,1,1,146
3,20,0,1,0,0,1,1,146
4,20,0,1,0,0,1,1,146
3,20,0,1,0,0,1,1,146
7,20,0,0,0,0,1,0,146
5,20,0,0,1,0,0,1,146
7,20,0,1,0,0,1,1,146
7,20,0,0,0,0,1,0,146
4,20,0,1,0,0,1,1,146
2,20,0,0,0,0,1,0,146
3,20,0,0,0,0,1,0,146
4,20,0,0,0,0,1,0,145
7,20,0,1,0,0,1,0,145
1,20,0,0,0,0,1,0,145
3,20,0,0,0,0,1,0,145
2,20,0,0,0,0,1,0,145
5,20,0,0,0,0,1,1,145
2,20,0,1,0,0,1,0,145
7,20,0,1,0,0,1,1,145
1,20,0,1,0,0,1,1,145
4,20,0,0,0,0,1,1,145
4,20,0,1,0,0,1,1,145
4,20,0,1,0,0,1,0,145
6,20,0,1,0,0,1,1,145
6,20,0,1,0,0,1,0,145
2,20,0,1,0,0,1,1,145
1,20,0,1,0,0,1,1,144
2,20,0,0,0,0,1,0,144
7,20,0,0,0,0,1,1,144
6,20,0,1,0,0,1,1,144
3,20,0,1,0,0,1,1,144
5,20,0,1,0,0,1,0,144
6,20,0,0,0,0,1,0,144
3,20,0,0,0,0,1,0,144
2,20,0,0,0,0,1,0,144
7,20,0,0,0,0,1,0,144
7,20,0,1,0,0,1,0,144
5,20,0,0,0,0,1,0,144
5,20,0,0,0,0,1,0,144
6,20,0,1,0,0,1,1,144
6,20,0,1,0,0,1,1,144
4,20,0,1,0,0,1,1,143
5,20,0,0,0,0,1,0,143
6,20,0,1,0,0,1,1,143
7,20,0,1,0,0,1,1,143
7,20,0,0,0,0,1,0,143
1,20,0,1,0,0,1,1,143
6,20,0,1,0,0,1,1,143
3,20,0,1,0,0,1,1,143
3,20,0,1,0,0,1,1,143
5,20,0,1,0,0,1,1,143
7,20,0,0,0,0,1,0,143
1,21,0,0,0,0,1,0,143
5,21,0,1,0,0,1,1,143
1,21,0,1,0,0,1,0,143
6,21,0,1,0,0,1,1,143
7,21,0,1,0,0,1,0,142
7,21,0,1,0,0,1,0,142
5,21,0,0,0,0,1,0,142
6,21,0,1,0,0,1,0,142
5,21,0,0,0,0,1,0,142
2,21,0,1,0,0,1,1,142
4,21,0,1,0,0,1,1,142
5,21,0,1,0,0,1,1,142
3,21,0,0,0,0,1,0,142
1,21,0,1,0,0,1,1,142
3,21,0,0,0,0,1,1,142
5,21,0,1,0,0,1,0,142
7,21,0,1,0,0,1,0,142
4,21,0,0,0,0,1,0,142
1,21,0,0,0,0,1,0,142
1,21,0,1,0,0,1,1,142
1,21,0,1,0,0,1,1,141
1,21,0,1,0,0,1,0,141
2,21,0,0,0,0,1,0,141
4,21,0,0,0,0,1,0,141
4,21,0,1,0,0,1,0,141
2,21,0,0,0,0,1,0,141
5,21,0,1,0,0,1,0,141
2,21,0,1,0,0,1,0,141
7,21,0,1,0,0,1,1,141
5,21,0,0,0,0,1,1,141
1,21,0,0,0,0,1,1,141
